nombre,artistas,album,fecha_lanzamiento,popularidad,explicit,imagen_url,spotify_url,generos,contenido
All The Way (feat. Bailey Zimmerman),"BigXthaPlug, Bailey Zimmerman",All The Way (feat. Bailey Zimmerman),2025-04-04,87,True,https://i.scdn.co/image/ab67616d0000b273eedca2962d36208f21037d62,https://open.spotify.com/track/73kIKvg65QWieOKXIwyLJP,southern hip hop,"southern hip hop BigXthaPlug, Bailey Zimmerman All The Way (feat. Bailey Zimmerman) True"
Interlude,Morgan Wallen,I’m The Problem,2025-05-16,79,True,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/4NoOpkVBJsRB2YTiP9vRJD,country,country Morgan Wallen I’m The Problem True
Don't We,Morgan Wallen,I’m The Problem,2025-05-16,79,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/7quUr3mlWKcQuBRfl6g5Sn,country,country Morgan Wallen I’m The Problem False
I'm A Little Crazy,Morgan Wallen,I’m The Problem,2025-05-16,76,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/2zIl3eEUd51KdtqGyJw1sg,country,country Morgan Wallen I’m The Problem False
Too Sweet,Hozier,Unreal Unearth: Unaired,2024-08-19,87,False,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ,, Hozier Unreal Unearth: Unaired False
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1977-02-04,90,False,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,"classic rock, yacht rock, soft rock","classic rock, yacht rock, soft rock Fleetwood Mac Rumours (Super Deluxe) False"
Dark Til Daylight,Morgan Wallen,I’m The Problem,2025-05-16,79,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/5t6VW9ocIgB84vD8uR5xXU,country,country Morgan Wallen I’m The Problem False
Revelation,Morgan Wallen,I’m The Problem,2025-05-16,78,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/4HWDNZ1i6gyzu9tUbNhC2C,country,country Morgan Wallen I’m The Problem False
Vita Fer,"Los Dareyes De La Sierra, Tito Double P",Redención,2025-05-08,80,True,https://i.scdn.co/image/ab67616d0000b273d64caf3104c5a901905d9b7e,https://open.spotify.com/track/3jS9G4KmuOwuawj3k4Smpc,"corrido, corridos bélicos, corridos tumbados, sierreño, electro corridos, dembow belico, banda, música mexicana","corrido, corridos bélicos, corridos tumbados, sierreño, electro corridos, dembow belico, banda, música mexicana Los Dareyes De La Sierra, Tito Double P Redención True"
TU SANCHO,Fuerza Regida,111XPANTIA,2025-05-02,85,True,https://i.scdn.co/image/ab67616d0000b2734f13783ebca8686ddc7992e7,https://open.spotify.com/track/6eLQXa6uk2EW8drsiKbABZ,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico","corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico Fuerza Regida 111XPANTIA True"
Triple Lavada,Esau Ortiz,Triple Lavada,2025-03-28,90,True,https://i.scdn.co/image/ab67616d0000b273c4bae404f4bbdd3272717a2b,https://open.spotify.com/track/6uroNiDEDd0xFLiri0aQNk,"electro corridos, dembow belico, corrido, corridos tumbados","electro corridos, dembow belico, corrido, corridos tumbados Esau Ortiz Triple Lavada True"
Amigos? No.,"Oscar Maydon, Neton Vega",Amigos? No.,2025-03-06,90,True,https://i.scdn.co/image/ab67616d0000b273f63a0f68467d1b4a35f51721,https://open.spotify.com/track/7hNgSEQ4Ho7kWBA2rKpDd9,"corridos tumbados, corrido, corridos bélicos, electro corridos, dembow belico, sad sierreño, banda","corridos tumbados, corrido, corridos bélicos, electro corridos, dembow belico, sad sierreño, banda Oscar Maydon, Neton Vega Amigos? No. True"
COMO CAPO,"Clave Especial, Fuerza Regida",MIJA NO TE ASUSTES,2025-02-20,87,True,https://i.scdn.co/image/ab67616d0000b27364decb1474ad644038e25d4e,https://open.spotify.com/track/4N1dogCaVWnGyFdPjdqNWF,"corrido, corridos tumbados, corridos bélicos, música mexicana","corrido, corridos tumbados, corridos bélicos, música mexicana Clave Especial, Fuerza Regida MIJA NO TE ASUSTES True"
Por Esos Ojos,Fuerza Regida,111XPANTIA,2025-05-02,83,True,https://i.scdn.co/image/ab67616d0000b2734f13783ebca8686ddc7992e7,https://open.spotify.com/track/77pDO4WZPIdkwFve0iHWnb,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico","corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico Fuerza Regida 111XPANTIA True"
TATTOO,Tito Double P,TATTOO,2025-02-27,91,True,https://i.scdn.co/image/ab67616d0000b2734555f9d48babadbd649ba713,https://open.spotify.com/track/3KgHiAVuP88QoQs9CO4z1P,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana Tito Double P TATTOO True"
TU TU TU,"Clave Especial, Edgardo Nuñez",MIJA NO TE ASUSTES,2025-02-20,86,True,https://i.scdn.co/image/ab67616d0000b27364decb1474ad644038e25d4e,https://open.spotify.com/track/0L5gbpFGU06vqSHacOxgka,"corrido, corridos tumbados, corridos bélicos, música mexicana","corrido, corridos tumbados, corridos bélicos, música mexicana Clave Especial, Edgardo Nuñez MIJA NO TE ASUSTES True"
ANSIEDAD,Fuerza Regida,111XPANTIA,2025-05-02,84,True,https://i.scdn.co/image/ab67616d0000b2734f13783ebca8686ddc7992e7,https://open.spotify.com/track/1a7onn7lPqqRWul5ogyMyX,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico","corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico Fuerza Regida 111XPANTIA True"
Pika Pika,"Chuyin, Fuerza Regida, Jorsshh, Calle 24",Pika Pika,2024-11-29,88,True,https://i.scdn.co/image/ab67616d0000b273b033ed96ed4cd275d9b3a25b,https://open.spotify.com/track/5LHPcY9yd0hWVFIW4yfOCJ,"corrido, corridos tumbados, corridos bélicos","corrido, corridos tumbados, corridos bélicos Chuyin, Fuerza Regida, Jorsshh, Calle 24 Pika Pika True"
7 DIAS,"Gabito Ballesteros, Tito Double P",7 DIAS,2025-01-30,89,True,https://i.scdn.co/image/ab67616d0000b273ec4f3a05f36b942d7756d7c0,https://open.spotify.com/track/5Z75FvRFiultmPFWHx5jQ7,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda","corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda Gabito Ballesteros, Tito Double P 7 DIAS True"
M&M,Neton Vega,Mi Vida Mi Muerte,2025-02-14,90,False,https://i.scdn.co/image/ab67616d0000b2735c0540f97b3f95e387a9b58e,https://open.spotify.com/track/3t72JCbFJ3syOhFC7x9Pa4,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico Neton Vega Mi Vida Mi Muerte False"
Chiquita,"Neton Vega, Tito Double P",Mi Vida Mi Muerte,2025-02-14,88,False,https://i.scdn.co/image/ab67616d0000b2735c0540f97b3f95e387a9b58e,https://open.spotify.com/track/07bruo5RoHasGqnun1Z31S,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico Neton Vega, Tito Double P Mi Vida Mi Muerte False"
CHAMPAGNE,Tito Double P,CHAMPAGNE,2025-05-15,81,True,https://i.scdn.co/image/ab67616d0000b2737a3451571221d540b4aa2d3d,https://open.spotify.com/track/0mfemgLsr0ucLSOBOc4xJ0,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana Tito Double P CHAMPAGNE True"
Linda Mujer,Ian Cordova,Linda Mujer,2025-05-01,82,False,https://i.scdn.co/image/ab67616d0000b273467692963ff454c02f4a54d9,https://open.spotify.com/track/116NyTQvOVrcAWLrGwTiSA,"electro corridos, corrido, dembow belico, corridos bélicos, corridos tumbados","electro corridos, corrido, dembow belico, corridos bélicos, corridos tumbados Ian Cordova Linda Mujer False"
Loco,Neton Vega,Mi Vida Mi Muerte,2025-02-14,86,False,https://i.scdn.co/image/ab67616d0000b2735c0540f97b3f95e387a9b58e,https://open.spotify.com/track/4eLDmhsJW3JoZTXCAozHor,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico Neton Vega Mi Vida Mi Muerte False"
COQUETA,"Fuerza Regida, Grupo Frontera",MALA MÍA,2024-12-19,89,False,https://i.scdn.co/image/ab67616d0000b273d4cef83f06fc615fe94aeaf5,https://open.spotify.com/track/1PREzVLuDT6PSE9sej4wnV,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico","corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico Fuerza Regida, Grupo Frontera MALA MÍA False"
ME JALO,"Fuerza Regida, Grupo Frontera",MALA MÍA,2024-12-19,92,True,https://i.scdn.co/image/ab67616d0000b273d4cef83f06fc615fe94aeaf5,https://open.spotify.com/track/3D24ErT1MMmUfXWotSj2A2,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico","corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico Fuerza Regida, Grupo Frontera MALA MÍA True"
La Pantera,"Marcos Villalobos, Alan Arrieta",La Pantera,2025-02-28,84,True,https://i.scdn.co/image/ab67616d0000b273412ffb0e6eddd95e43a3d5f3,https://open.spotify.com/track/0TOQQZVCZdMFMxzHT6WEtD,"electro corridos, dembow belico, corrido, corridos tumbados","electro corridos, dembow belico, corrido, corridos tumbados Marcos Villalobos, Alan Arrieta La Pantera True"
SUIZA,Calle 24,ONDEADO$,2024-12-12,83,True,https://i.scdn.co/image/ab67616d0000b273b864e4a51005c9b49c6c12d3,https://open.spotify.com/track/7585wxMp2e3IhBq3tJAXgw,"corrido, corridos tumbados, corridos bélicos, electro corridos, sad sierreño","corrido, corridos tumbados, corridos bélicos, electro corridos, sad sierreño Calle 24 ONDEADO$ True"
CLEOPATRA,Gabito Ballesteros,CLEOPATRA,2025-05-01,83,False,https://i.scdn.co/image/ab67616d0000b273f0928a03c9d3957674b579ac,https://open.spotify.com/track/4qwBnsVfknRk1wyvPVu5py,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda","corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda Gabito Ballesteros CLEOPATRA False"
Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,2024-09-26,89,True,https://i.scdn.co/image/ab67616d0000b273b51d9a74d356d785cce9dea9,https://open.spotify.com/track/1cOboCuWYI2osTOfolMRS6,"corridos tumbados, corrido, corridos bélicos, electro corridos, dembow belico, sad sierreño, banda","corridos tumbados, corrido, corridos bélicos, electro corridos, dembow belico, sad sierreño, banda Oscar Maydon, Fuerza Regida Tu Boda True"
NADIE,Tito Double P,NADIE,2024-11-21,88,True,https://i.scdn.co/image/ab67616d0000b273369bcf083996da3c3b6d1f40,https://open.spotify.com/track/7sd6zMrgGpEa7NkQm9TRrg,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana Tito Double P NADIE True"
ROSONES,Tito Double P,ROSONES,2024-12-05,88,True,https://i.scdn.co/image/ab67616d0000b273c6d0e8bfb41e9d9cee3a1248,https://open.spotify.com/track/0LTwdL5yZ6YOTEGUQPFuSN,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana Tito Double P ROSONES True"
DOS DÍAS,"Tito Double P, Peso Pluma",INCÓMODO,2024-08-22,88,True,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b,https://open.spotify.com/track/5lKFO0PrOC9jmOlPEdjHsL,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana Tito Double P, Peso Pluma INCÓMODO True"
Lejos Estamos Mejor,Eden Muñoz,Lejos Estamos Mejor,2025-05-09,80,False,https://i.scdn.co/image/ab67616d0000b273abf7cce86bcb8911f041bdf6,https://open.spotify.com/track/4jwAlalnN7RjBt3lg1H56E,"banda, corrido, norteño, corridos bélicos, corridos tumbados, música mexicana","banda, corrido, norteño, corridos bélicos, corridos tumbados, música mexicana Eden Muñoz Lejos Estamos Mejor False"
HOLLYWOOD,"Peso Pluma, Estevan Plazola",ÉXODO,2024-06-20,85,True,https://i.scdn.co/image/ab67616d0000b2732690127e1d6cd0aa35cc353b,https://open.spotify.com/track/5GTBdEjZe7zEDp1N0eCZE4,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos, dembow belico","corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos, dembow belico Peso Pluma, Estevan Plazola ÉXODO True"
El Mayor de los Ranas (En Vivo),"Grupo Marca Registrada, Victor Valverde",El Mayor de los Ranas (En Vivo),2025-02-27,86,True,https://i.scdn.co/image/ab67616d0000b27378390e72e4702597e5c5a960,https://open.spotify.com/track/7mEPibyVIOAjjHcSD0K0vn,"corrido, corridos bélicos, corridos tumbados, electro corridos, norteño, banda, música mexicana, sad sierreño, dembow belico, sierreño","corrido, corridos bélicos, corridos tumbados, electro corridos, norteño, banda, música mexicana, sad sierreño, dembow belico, sierreño Grupo Marca Registrada, Victor Valverde El Mayor de los Ranas (En Vivo) True"
En Privado,"Xavi, Manuel Turizo",En Privado,2025-02-06,89,False,https://i.scdn.co/image/ab67616d0000b2735ffe63ab6e8a3f6f5653d188,https://open.spotify.com/track/2SkB7jADnfiWH8qAE9H8cO,"corridos tumbados, corrido, corridos bélicos, sad sierreño, música mexicana, banda","corridos tumbados, corrido, corridos bélicos, sad sierreño, música mexicana, banda Xavi, Manuel Turizo En Privado False"
PRESIDENTE,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",PRESIDENTE,2024-10-21,87,True,https://i.scdn.co/image/ab67616d0000b273f66501800b3a51af3bc69f8d,https://open.spotify.com/track/4OLT65TRsOx3Iv1TlCcQVb,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda","corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega PRESIDENTE True"
El Mayor De Los Ranas,"Victor Valverde, JR Torres",Con Tokio,2025-01-17,80,True,https://i.scdn.co/image/ab67616d0000b273d9f261d933613dbfc199328a,https://open.spotify.com/track/6v5qt5KPQHJt5ckWuhDGtM,"corrido, electro corridos, corridos tumbados, corridos bélicos, dembow belico","corrido, electro corridos, corridos tumbados, corridos bélicos, dembow belico Victor Valverde, JR Torres Con Tokio True"
Ráfagas al Viento,Victor Mendivil,Ráfagas al Viento,2025-02-25,85,False,https://i.scdn.co/image/ab67616d0000b2732ddbb68789d9b4d6bfe939d5,https://open.spotify.com/track/5GIrmSQBxO9LTunilbwMWw,"electro corridos, dembow belico, corrido, corridos tumbados, corridos bélicos, dembow","electro corridos, dembow belico, corrido, corridos tumbados, corridos bélicos, dembow Victor Mendivil Ráfagas al Viento False"
ROSONES,"Jorsshh, Fuerza Regida",ROSONES,2024-11-15,85,True,https://i.scdn.co/image/ab67616d0000b2733ad59c0dc625065abeef8bed,https://open.spotify.com/track/6x59lSlNU7TvsJZy7134uC,"corrido, corridos tumbados, corridos bélicos","corrido, corridos tumbados, corridos bélicos Jorsshh, Fuerza Regida ROSONES True"
peliculiando,Fuerza Regida,111XPANTIA,2025-05-02,83,True,https://i.scdn.co/image/ab67616d0000b2734f13783ebca8686ddc7992e7,https://open.spotify.com/track/4st6K8nGBjANh0mKNvOpnt,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico","corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, dembow belico Fuerza Regida 111XPANTIA True"
Supreme,"Los Dareyes De La Sierra, Peso Pluma",Redención,2025-05-08,80,True,https://i.scdn.co/image/ab67616d0000b273d64caf3104c5a901905d9b7e,https://open.spotify.com/track/3g9t4SqzzMf7hEtJRS3wsy,"corrido, corridos bélicos, corridos tumbados, sierreño, electro corridos, dembow belico, banda, música mexicana","corrido, corridos bélicos, corridos tumbados, sierreño, electro corridos, dembow belico, banda, música mexicana Los Dareyes De La Sierra, Peso Pluma Redención True"
Cuando No Era Cantante,"El Bogueto, Yung Beef",No Hay Loco Que No Corone,2024-09-26,80,True,https://i.scdn.co/image/ab67616d0000b2736f4abe61c76be30ba12928e8,https://open.spotify.com/track/44xDy4h27s4ENaC8fKnCoC,"reggaeton mexa, reggaeton","reggaeton mexa, reggaeton El Bogueto, Yung Beef No Hay Loco Que No Corone True"
WASSUP,Young Miko,WASSUP,2025-04-25,87,True,https://i.scdn.co/image/ab67616d0000b2734fb3dec62284bce58f432b05,https://open.spotify.com/track/32SJM4tQyJHsB8rgVtZURn,trap latino,trap latino Young Miko WASSUP True
5-7,"Tito Double P, Junior H",INCÓMODO,2024-08-22,86,False,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b,https://open.spotify.com/track/3IEvQ1CzszUJtTRLmmMJ2X,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana Tito Double P, Junior H INCÓMODO False"
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,2024-11-15,91,True,https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856,https://open.spotify.com/track/0l0vcZMU7AOeQmUIREoI2U,"reggaeton, urbano latino, trap latino, latin","reggaeton, urbano latino, trap latino, latin Rauw Alejandro, Bad Bunny Cosa Nuestra True"
Todo a Su Tiempo,Neton Vega,Todo a Su Tiempo,2024-09-27,85,False,https://i.scdn.co/image/ab67616d0000b273693b59436e283c3ca2d8b248,https://open.spotify.com/track/4JLZyyWuvvse6xKiZqRdau,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico Neton Vega Todo a Su Tiempo False"
Y LLORO,Junior H,$AD BOYZ 4 LIFE II,2023-10-05,85,True,https://i.scdn.co/image/ab67616d0000b273f3ba6742a35f111aaea1ca2f,https://open.spotify.com/track/6RcAHyC5sAUIbPTkhOQwd8,"corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, música mexicana, banda","corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, música mexicana, banda Junior H $AD BOYZ 4 LIFE II True"
EL LOKERON,Tito Double P,INCÓMODO,2024-08-22,86,True,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b,https://open.spotify.com/track/6X6m4xmdFcz31p1h7Qg68c,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana Tito Double P INCÓMODO True"
